instance_name,periods,bs_total_cost,bs_routing_cost,bs_inventory_penalty,bs_feasible,bs_runtime_sec,bs_calls,ils_total_cost,ils_routing_cost,ils_inventory_penalty,ils_feasible,ils_runtime_sec,ils_calls,total_runtime_sec,total_runtime_formatted,improvement_percent
LR1_DR02_VC03_V8a,120,352183.935752,42583.93575200002,309600.0,True,66.8147,52,111037.68367199998,37237.68367199999,73800.0,True,3201.2431,54,3268.0578,54m 28.06s,68.47%
LR1_DR02_VC03_V7a,120,444221.133942,35621.133941999986,408600.0,True,24.3094,58,86128.41964399998,34628.41964399999,51500.0,True,5374.7802,66,5399.0896,1h 29m 59.09s,80.61%
LR1_DR02_VC02_V6a,120,731274.78451,31374.784509999998,699900.0,True,54.4315,73,65654.81212999998,34054.812129999984,31600.0,True,5881.482,69,5935.9135,1h 38m 55.91s,91.02%
LR1_DR02_VC04_V8a,120,139679.93219800002,43279.93219800001,96400.0,True,1474.7939,75,74159.98225999999,42259.98226,31900.0,True,6565.2868,75,8040.0807,2h 14m 0.08s,46.91%
LR1_DR03_VC03_V10b,120,1806188.66957,13888.66957,1792300.0,True,278.3474,32,131405.92527599997,55605.92527599997,75800.0,True,13131.1749,96,13409.5223,3h 43m 29.52s,92.72%
LR1_DR04_VC03_V15a,120,2172212.758442,68812.758442,2103400.0,True,295.5731,85,99652.75182599996,67052.75182599996,32600.0,True,31476.9366,125,31772.5097,8h 49m 32.51s,95.41%
LR1_DR04_VC03_V15b,120,2318934.404836,68634.40483599996,2250300.0,True,628.0324,138,168503.5437559999,81503.54375599991,87000.0,True,35586.7012,136,36214.7336,10h 3m 34.73s,92.73%
LR1_DR04_VC05_V17a,120,2413483.347342,81183.34734199998,2332300.0,True,408.3672,144,82134.32576399992,69734.32576399992,12400.0,True,39153.5265,136,39561.8937,10h 59m 21.89s,96.60%
LR1_DR04_VC05_V17b,120,2235080.949984,71980.94998399999,2163100.0,True,702.6906,117,123727.01179199993,78227.01179199993,45500.0,True,47795.0936,147,48497.7842,13h 28m 17.78s,94.46%
LR1_DR05_VC05_V25a,120,2736219.141756,47519.14175599998,2688700.0,True,2491.3721,89,194197.8875919999,106997.88759199991,87200.0,True,54467.8648,161,56959.2369,15h 49m 19.24s,92.90%
LR1_DR02_VC01_V6a,120,523279.81393999996,34879.81393999996,488400.0,True,6.4668,53,62070.30631999995,34070.30631999995,28000.0,True,4541.6017,65,4548.0684,1h 15m 48.07s,88.14%
LR1_DR02_VC05_V8a,120,206878.17798399998,37378.17798399999,169500.0,True,965.7815,69,69786.18430799997,37986.184307999974,31800.0,True,6708.7114,71,7674.493,2h 7m 54.49s,66.27%
LR1_DR03_VC03_V16a,120,921035.2492720002,72835.24927200012,848200.0,True,2981.5647,76,156145.74018600013,70045.74018600013,86100.0,True,14734.2177,94,17715.7824,4h 55m 15.78s,83.05%
LR1_DR03_VC03_V13b,120,1592685.0541120002,74085.05411200009,1518600.0,True,673.6399,114,214524.85854200003,77124.85854200003,137400.0,True,25448.0653,120,26121.7052,7h 15m 21.71s,86.53%
LR1_DR02_VC03_V8a,180,535705.344912,67905.34491200002,467800.0,True,216.5801,78,198824.14312199998,64824.143121999994,134000.0,True,9815.6106,84,10032.1907,2h 47m 12.19s,62.89%
LR1_DR02_VC01_V6a,180,822759.95636,53959.956359999946,768800.0,True,45.2113,81,184544.30235999994,51744.302359999936,132800.0,True,10116.2255,85,10161.4368,2h 49m 21.44s,77.57%
LR1_DR02_VC03_V7a,180,703275.32195,56375.32194999997,646900.0,True,135.6141,87,151672.61992999996,53972.619929999964,97700.0,True,15643.2927,99,15778.9069,4h 22m 58.91s,78.43%
LR1_DR02_VC02_V6a,180,1205478.2279400001,49578.22794000003,1155900.0,True,152.7242,112,102373.18076000002,50973.180760000025,51400.0,True,17533.6383,104,17686.3625,4h 54m 46.36s,91.51%
LR1_DR02_VC05_V8a,180,247876.621616,59076.62161599998,188800.0,True,2746.7959,105,142201.07514799997,58601.07514799999,83600.0,True,16399.449,105,19146.245,5h 19m 6.24s,42.63%
LR1_DR02_VC04_V8a,180,192283.214756,66083.214756,126200.0,True,2957.7274,110,109928.85272199998,66428.85272199998,43500.0,True,20840.0595,116,23797.7869,6h 36m 37.79s,42.83%
LR1_DR03_VC03_V10b,180,2671371.51559,17571.515590000003,2653800.0,True,1180.6615,42,193312.78743199998,81612.787432,111700.0,True,39150.6125,132,40331.274,11h 12m 11.27s,92.76%
LR1_DR03_VC03_V13b,180,2577746.225504,89246.22550400005,2488500.0,True,1340.2683,130,333265.56328000006,97865.56328000006,235400.0,True,64567.2007,154,65907.469,18h 18m 27.47s,87.07%
