instance_name,periods,bs_total_cost,bs_routing_cost,bs_inventory_penalty,bs_feasible,bs_runtime_sec,bs_calls,ils_total_cost,ils_routing_cost,ils_inventory_penalty,ils_feasible,ils_runtime_sec,ils_calls,total_runtime_sec,total_runtime_formatted,improvement_percent
LR1_DR02_VC03_V8a,180,535705.344912,67905.34491200002,467800.0,True,216.5801,78,198824.14312199998,64824.143121999994,134000.0,True,9815.6106,84,10032.1907,2h 47m 12.19s,62.89%
LR1_DR02_VC01_V6a,180,822759.95636,53959.956359999946,768800.0,True,45.2113,81,184544.30235999994,51744.302359999936,132800.0,True,10116.2255,85,10161.4368,2h 49m 21.44s,77.57%
LR1_DR02_VC03_V7a,180,703275.32195,56375.32194999997,646900.0,True,135.6141,87,151672.61992999996,53972.619929999964,97700.0,True,15643.2927,99,15778.9069,4h 22m 58.91s,78.43%
LR1_DR02_VC02_V6a,180,1205478.2279400001,49578.22794000003,1155900.0,True,152.7242,112,102373.18076000002,50973.180760000025,51400.0,True,17533.6383,104,17686.3625,4h 54m 46.36s,91.51%
LR1_DR02_VC05_V8a,180,247876.621616,59076.62161599998,188800.0,True,2746.7959,105,142201.07514799997,58601.07514799999,83600.0,True,16399.449,105,19146.245,5h 19m 6.24s,42.63%
LR1_DR02_VC04_V8a,180,192283.214756,66083.214756,126200.0,True,2957.7274,110,109928.85272199998,66428.85272199998,43500.0,True,20840.0595,116,23797.7869,6h 36m 37.79s,42.83%
LR1_DR03_VC03_V10b,180,2671371.51559,17571.515590000003,2653800.0,True,1180.6615,42,193312.78743199998,81612.787432,111700.0,True,39150.6125,132,40331.274,11h 12m 11.27s,92.76%
LR1_DR03_VC03_V13b,180,2577746.225504,89246.22550400005,2488500.0,True,1340.2683,130,333265.56328000006,97865.56328000006,235400.0,True,64567.2007,154,65907.469,18h 18m 27.47s,87.07%
LR1_DR03_VC03_V16a,180,1417927.304986,122027.30498599996,1295900.0,True,4569.7713,112,197517.604132,114517.60413200002,83000.0,True,51993.4184,148,56563.1897,15h 42m 43.19s,86.07%
LR1_DR04_VC03_V15a,180,3351154.823694,107154.8236940001,3244000.0,True,534.4477,123,170385.46080800006,115385.46080800006,55000.0,True,42456.9133,185,42991.3611,11h 56m 31.36s,94.92%
LR1_DR04_VC03_V15b,180,3910830.5321,40630.53209999999,3870200.0,True,2948.7199,82,253211.8593819999,114011.85938199991,139200.0,True,18733.5612,188,21682.2811,6h 1m 22.28s,93.53%
LR1_DR04_VC05_V17a,180,3648432.903826,125832.90382600026,3522600.0,True,1914.442,216,155753.483838,116453.483838,39300.0,True,19983.5091,200,21897.951,6h 4m 57.95s,95.73%
LR1_DR04_VC05_V17b,180,3554250.8286180003,115850.82861800006,3438400.0,True,2184.9087,179,186486.06701599987,115486.06701599988,71000.0,True,33881.8997,207,36066.8084,10h 1m 6.81s,94.75%
