combination_idx;tuned_factor;instance_name;final_cost;gap_percent;runtime_sec;d_beta;target_acceptance_rate;initial_threshold;reaction_factor
1;baseline;LR1_DR02_VC03_V8a;115208.876784;163.51;3263.4107744693756;0.3;0.1;0.05;0.1
2;reaction_factor;LR1_DR02_VC03_V8a;126172.59987199999;188.59;3767.57480096817;0.3;0.1;0.05;0.05
2;reaction_factor;LR1_DR02_VC01_V6a;125809.36631999997;272.12;4019.9458355903625;0.3;0.1;0.05;0.05
1;baseline;LR1_DR02_VC01_V6a;125694.34471999996;271.78;4182.990679264069;0.3;0.1;0.05;0.1
3;reaction_factor;LR1_DR02_VC03_V8a;122389.102288;179.93;4055.5774340629578;0.3;0.1;0.05;0.15
4;d_beta;LR1_DR02_VC03_V8a;105491.74371399998;141.28;3651.826252222061;0.2;0.1;0.05;0.1
3;reaction_factor;LR1_DR02_VC01_V6a;141034.77063999997;317.15;4026.3059821128845;0.3;0.1;0.05;0.15
4;d_beta;LR1_DR02_VC01_V6a;126189.44121999998;273.24;4156.147735357285;0.2;0.1;0.05;0.1
5;d_beta;LR1_DR02_VC03_V8a;119140.89332999999;172.5;4065.871063709259;0.4;0.1;0.05;0.1
6;target_acceptance_rate;LR1_DR02_VC03_V8a;114033.61140599998;160.82;3783.569970369339;0.3;0.05;0.05;0.1
5;d_beta;LR1_DR02_VC01_V6a;124976.95871999997;269.66;4139.98545050621;0.4;0.1;0.05;0.1
6;target_acceptance_rate;LR1_DR02_VC01_V6a;136691.98031999997;304.31;4288.675377607346;0.3;0.05;0.05;0.1
7;target_acceptance_rate;LR1_DR02_VC03_V8a;97780.40971400001;123.65;3939.6383152008057;0.3;0.15;0.05;0.1
8;initial_threshold;LR1_DR02_VC03_V8a;104021.58842199997;137.92;3653.80495929718;0.3;0.1;0.01;0.1
7;target_acceptance_rate;LR1_DR02_VC01_V6a;110938.36631999997;228.13;4372.591766119003;0.3;0.15;0.05;0.1
8;initial_threshold;LR1_DR02_VC01_V6a;129868.74903999997;284.12;4035.2463824748993;0.3;0.1;0.01;0.1
9;initial_threshold;LR1_DR02_VC03_V8a;123498.899182;182.47;2416.3918640613556;0.3;0.1;0.1;0.1
9;initial_threshold;LR1_DR02_VC01_V6a;109433.59431999996;223.68;2633.460349082947;0.3;0.1;0.1;0.1
